,HCR,LOP,DEX,CGR,GPR,FOS,DET,BCL
987,1.626617339668997,7.586198447337381,3.071975984592362,4.099461689368773,0.0032938742381970285,0.005241251064845461,11.507138955407175,4.439404009050082
988,6.512943873400749,3.785227227798334,1.535987992296181,1.1163880289253527,13.505144048550397,0.0026247394558115518,11.486493860782357,4.439404009050082
989,3.2556678897077465,7.603032923474275,3.071975984592362,4.101611781002636,13.507590207500936,0.0013126740962933455,5.750607131473817,2.219702004525041
990,6.513321118911467,15.284786671293162,6.143951969184724,8.230123411169512,6.736322227210698,5.405087493422499,23.09998552532903,8.878808018100164
991,1.6270979506837098,7.581753411131602,3.071975984592362,4.099342945942376,3.3648460523250825,2.6816587962557077,23.057448419965926,8.878808018100164
992,3.2527826805114435,3.7934569965198395,1.535987992296181,1.1175734968332116,1.6816356130655432,1.335459862282234,11.509951042832455,4.439404009050082
993,6.513071563186052,1.8991180891116028,0.7679939961480905,1.0254214000820445,0.8407839296670859,0.6669869191996345,5.750635521682844,2.219702004525041
994,1.626028130922382,0.948699344761587,0.38399699807404525,8.213140978136868,0.4204850518120102,0.333557959880496,2.877911154649352,1.1098510022625205
995,6.513505521432853,15.305199358225067,6.143951969184724,4.094312861880935,0.21030623769229906,0.1668986048179817,1.4402767393211429,0.5549255011312603
996,1.6272730986273782,7.592879496596708,3.071975984592362,2.047377691017919,0.10518896275309789,0.08353791001181855,11.503773257587332,4.439404009050082
997,3.2547759355133574,3.7959691580139174,1.535987992296181,1.0236965635806738,0.052614084469516875,0.04181659566519538,5.75218098953658,2.219702004525041
998,3.2531485736316195,1.9043447970364416,0.7679939961480905,0.5121920439322915,0.02631642789984057,0.020933338570020603,2.8721687675707566,1.1098510022625205
999,6.513661542977875,0.950906948813511,0.38399699807404525,8.962800534013239,0.013163106872574623,0.010480170593962376,1.437296440826461,0.5549255011312603
1000,3.255496344754842,15.296693126315523,6.143951969184724,8.229094593163024,0.006584591527843834,0.005249736265536042,11.523697520585385,4.439404009050082
1001,6.51354811750571,7.599423399832442,3.071975984592362,2.2317510500095805,13.505045758077724,2.6486912680274495,5.753456292878246,2.219702004525041
1002,6.513959370971426,3.786761107494795,1.535987992296181,1.1190155951672092,13.509897210267448,1.3118334001239398,2.877419997719783,1.1098510022625205
1003,1.6272156825189672,1.9007263622764874,0.7679939961480905,8.978699565994397,6.734443440298633,0.6665785878119544,1.4406546174226762,0.5549255011312603
1004,6.512407989722247,0.9503932355679403,0.38399699807404525,4.468802160289603,3.362933665385087,0.3361772115060113,23.08091065731454,8.878808018100164
1005,3.255090792092724,15.290633115556632,6.143951969184724,2.2315541108314627,1.680674554628126,5.405399016970229,11.490135259251085,4.439404009050082
1006,3.2528449458923965,15.283427078199175,6.143951969184724,1.1174160515927833,0.8402961029972476,2.6599470358270767,5.749102729766361,2.219702004525041
1007,1.6271479752305862,7.592390488796122,3.071975984592362,0.5593183900745479,0.42023384102596106,1.3202369727098862,2.88186224670958,1.1098510022625205
1008,3.2524290958982265,3.7968160766118,1.535987992296181,8.224794485968799,0.21020313277359132,0.6584505579220524,23.080192942728885,8.878808018100164
1009,3.2546136205298533,15.259260218333633,6.143951969184724,4.098369975605664,0.10515170113553968,0.3290307444007826,11.502037714429179,4.439404009050082
1010,1.627364954353987,15.287780245223036,6.143951969184724,1.1187053673864216,0.052597734114215804,0.16458259665823596,5.750876798361077,2.219702004525041
1011,1.6263602629339657,15.286004684813715,6.143951969184724,8.970378370306518,0.026308480767537834,0.08234981335882517,2.870893216024986,1.1098510022625205
1012,3.2526322546758495,3.7889951043120362,1.535987992296181,4.466617177477543,0.013158981276191388,0.04121386563739954,1.440934537700089,0.5549255011312603
1013,3.255373738529922,1.8949118268172063,0.7679939961480905,4.100328189894868,0.0065818445936088035,0.02062883765847661,23.10608813975489,8.878808018100164
1014,6.511901819939809,0.9493983706553977,0.38399699807404525,2.0474083822991895,0.003292503733134576,0.01032897059018513,11.513239634556486,4.439404009050082
