,Generator,Zone,Time,NOX lb,SO2 lb,CO2 lb,N2O lb,CO2_equivelent lb
0,YUBACT_6_UNITA1,PGE_valley,1,0.0,0.0,0.0,0.0,0.0
1,YUBACT_6_UNITA1,PGE_valley,2,0.0,0.0,0.0,0.0,0.0
2,YUBACT_6_UNITA1,PGE_valley,3,0.0,0.0,0.0,0.0,0.0
3,YUBACT_6_UNITA1,PGE_valley,4,0.0,0.0,0.0,0.0,0.0
4,YUBACT_6_UNITA1,PGE_valley,5,0.0,0.0,0.0,0.0,0.0
5,YUBACT_6_UNITA1,PGE_valley,6,0.0,0.0,0.0,0.0,0.0
6,YUBACT_6_UNITA1,PGE_valley,7,0.0,0.0,0.0,0.0,0.0
7,YUBACT_6_UNITA1,PGE_valley,8,0.0,0.0,0.0,0.0,0.0
8,YUBACT_6_UNITA1,PGE_valley,9,0.0,0.0,0.0,0.0,0.0
9,YUBACT_6_UNITA1,PGE_valley,10,0.0,0.0,0.0,0.0,0.0
10,YUBACT_6_UNITA1,PGE_valley,11,0.0,0.0,0.0,0.0,0.0
11,YUBACT_6_UNITA1,PGE_valley,12,0.0,0.0,0.0,0.0,0.0
12,YUBACT_6_UNITA1,PGE_valley,13,0.0,0.0,0.0,0.0,0.0
13,YUBACT_6_UNITA1,PGE_valley,14,0.0,0.0,0.0,0.0,0.0
14,YUBACT_6_UNITA1,PGE_valley,15,0.0,0.0,0.0,0.0,0.0
15,YUBACT_6_UNITA1,PGE_valley,16,0.0,0.0,0.0,0.0,0.0
16,YUBACT_6_UNITA1,PGE_valley,17,0.0,0.0,0.0,0.0,0.0
17,YUBACT_6_UNITA1,PGE_valley,18,0.0,0.0,0.0,0.0,0.0
18,YUBACT_6_UNITA1,PGE_valley,19,0.0,0.0,0.0,0.0,0.0
19,YUBACT_6_UNITA1,PGE_valley,20,0.0,0.0,0.0,0.0,0.0
20,YUBACT_6_UNITA1,PGE_valley,21,0.0,0.0,0.0,0.0,0.0
21,YUBACT_6_UNITA1,PGE_valley,22,0.0,0.0,0.0,0.0,0.0
22,YUBACT_6_UNITA1,PGE_valley,23,0.0,0.0,0.0,0.0,0.0
23,YUBACT_6_UNITA1,PGE_valley,24,0.0,0.0,0.0,0.0,0.0
24,HENRTA_6_UNITA2,PGE_valley,1,0.0,0.0,0.0,0.0,0.0
25,HENRTA_6_UNITA2,PGE_valley,2,0.0,0.0,0.0,0.0,0.0
26,HENRTA_6_UNITA2,PGE_valley,3,0.0,0.0,0.0,0.0,0.0
27,HENRTA_6_UNITA2,PGE_valley,4,0.0,0.0,0.0,0.0,0.0
28,HENRTA_6_UNITA2,PGE_valley,5,0.0,0.0,0.0,0.0,0.0
29,HENRTA_6_UNITA2,PGE_valley,6,0.0,0.0,0.0,0.0,0.0
30,HENRTA_6_UNITA2,PGE_valley,7,0.0,0.0,0.0,0.0,0.0
31,HENRTA_6_UNITA2,PGE_valley,8,0.0,0.0,0.0,0.0,0.0
32,HENRTA_6_UNITA2,PGE_valley,9,0.0,0.0,0.0,0.0,0.0
33,HENRTA_6_UNITA2,PGE_valley,10,0.0,0.0,0.0,0.0,0.0
34,HENRTA_6_UNITA2,PGE_valley,11,0.0,0.0,0.0,0.0,0.0
35,HENRTA_6_UNITA2,PGE_valley,12,0.0,0.0,0.0,0.0,0.0
36,HENRTA_6_UNITA2,PGE_valley,13,0.0,0.0,0.0,0.0,0.0
37,HENRTA_6_UNITA2,PGE_valley,14,0.0,0.0,0.0,0.0,0.0
38,HENRTA_6_UNITA2,PGE_valley,15,0.0,0.0,0.0,0.0,0.0
39,HENRTA_6_UNITA2,PGE_valley,16,0.0,0.0,0.0,0.0,0.0
40,HENRTA_6_UNITA2,PGE_valley,17,0.0,0.0,0.0,0.0,0.0
41,HENRTA_6_UNITA2,PGE_valley,18,0.0,0.0,0.0,0.0,0.0
42,HENRTA_6_UNITA2,PGE_valley,19,0.0,0.0,0.0,0.0,0.0
43,HENRTA_6_UNITA2,PGE_valley,20,0.0,0.0,0.0,0.0,0.0
44,HENRTA_6_UNITA2,PGE_valley,21,0.0,0.0,0.0,0.0,0.0
45,HENRTA_6_UNITA2,PGE_valley,22,0.0,0.0,0.0,0.0,0.0
46,HENRTA_6_UNITA2,PGE_valley,23,0.0,0.0,0.0,0.0,0.0
47,HENRTA_6_UNITA2,PGE_valley,24,0.0,0.0,0.0,0.0,0.0
48,PNOCHE_1_PL1X2,PGE_valley,1,0.0,0.0,0.0,0.0,0.0
49,PNOCHE_1_PL1X2,PGE_valley,2,0.0,0.0,0.0,0.0,0.0
50,PNOCHE_1_PL1X2,PGE_valley,3,0.0,0.0,0.0,0.0,0.0
51,PNOCHE_1_PL1X2,PGE_valley,4,0.0,0.0,0.0,0.0,0.0
52,PNOCHE_1_PL1X2,PGE_valley,5,0.0,0.0,0.0,0.0,0.0
53,PNOCHE_1_PL1X2,PGE_valley,6,0.0,0.0,0.0,0.0,0.0
54,PNOCHE_1_PL1X2,PGE_valley,7,0.0,0.0,0.0,0.0,0.0
55,PNOCHE_1_PL1X2,PGE_valley,8,0.0,0.0,0.0,0.0,0.0
56,PNOCHE_1_PL1X2,PGE_valley,9,0.0,0.0,0.0,0.0,0.0
57,PNOCHE_1_PL1X2,PGE_valley,10,0.0,0.0,0.0,0.0,0.0
58,PNOCHE_1_PL1X2,PGE_valley,11,0.0,0.0,0.0,0.0,0.0
59,PNOCHE_1_PL1X2,PGE_valley,12,0.0,0.0,0.0,0.0,0.0
60,PNOCHE_1_PL1X2,PGE_valley,13,0.0,0.0,0.0,0.0,0.0
61,PNOCHE_1_PL1X2,PGE_valley,14,0.0,0.0,0.0,0.0,0.0
62,PNOCHE_1_PL1X2,PGE_valley,15,0.0,0.0,0.0,0.0,0.0
63,PNOCHE_1_PL1X2,PGE_valley,16,0.0,0.0,0.0,0.0,0.0
64,PNOCHE_1_PL1X2,PGE_valley,17,0.0,0.0,0.0,0.0,0.0
65,PNOCHE_1_PL1X2,PGE_valley,18,0.0,0.0,0.0,0.0,0.0
66,PNOCHE_1_PL1X2,PGE_valley,19,0.0,0.0,0.0,0.0,0.0
67,PNOCHE_1_PL1X2,PGE_valley,20,0.0,0.0,0.0,0.0,0.0
68,PNOCHE_1_PL1X2,PGE_valley,21,0.0,0.0,0.0,0.0,0.0
69,PNOCHE_1_PL1X2,PGE_valley,22,0.0,0.0,0.0,0.0,0.0
70,PNOCHE_1_PL1X2,PGE_valley,23,0.0,0.0,0.0,0.0,0.0
71,PNOCHE_1_PL1X2,PGE_valley,24,0.0,0.0,0.0,0.0,0.0
