,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,48497.377321347,64038.57597138476,68091.3802383856,72960.95840245069,70457.25754225111,79291.86062014026,65014.42763104195
1,58053.16544265843,69492.96261205821,74489.71179079886,72277.4911981818,81687.64801054851,66321.22815161722,56740.60035321445
2,59433.88223518739,69276.33751015067,69823.79607784329,78521.26054440135,63861.6069800528,53691.70993798332,63393.56935842095
3,62482.73585337348,69924.86885585479,76755.55110505004,61964.175966353345,51791.14453626658,61496.51828044378,58800.009620428944
4,61584.02277154877,76295.3928090656,62713.626421685956,52538.41775951295,62240.77873114329,59542.0502866794,69940.03359017632
5,68740.51600689506,60574.39951034945,50896.863598034935,60597.91479840876,57898.64551201735,68295.63105075939,51374.30251707605
6,53581.23802104105,52131.769967155924,60230.38571485757,57532.18545385655,67928.2198087118,51007.83603178729,59433.86839881532
7,44751.3241936661,60632.01871064833,58894.73181395971,69269.91312105593,52655.665704255545,60776.391842336474,38290.44959208314
8,53504.91863879915,60924.4892898384,67721.40160170026,51649.81819720293,59816.804320438896,37116.929236634256,42095.79593196739
9,54947.860920272215,76938.90031835405,55768.968501667805,63872.566751339,41061.50229464969,46273.053092569535,51557.19124655033
10,71137.40587368727,58466.6877426632,68903.68524444023,46293.11058087124,51332.64974063932,56834.2677008921,68637.88507718853
11,52265.92112915378,70261.74798107136,44258.516449862764,49516.60730471072,54725.39671381857,67035.36288362545,65787.50607675171
12,63527.46032000592,43288.87825244987,52528.12811864093,59561.458782562346,70268.90590366829,68916.96361807571,46432.836217767996
13,36460.24853282126,51945.75495260808,53893.077353505854,66257.96650024844,65105.82131195664,42550.200381897695,37298.310869126515
14,45344.30008366091,59563.761384753554,69278.60065338414,68496.17876415688,46166.646699130964,40329.09618390517,59390.34052042528
15,51426.95989052056,66061.58612356639,69392.38533050295,46960.71362205021,40488.32738413015,60196.30695251384,62474.10288481347
16,58408.00008037635,66137.0821676275,41792.831100065734,36519.131312136684,54965.25923403746,57105.13131170554,52743.77125188245
17,59657.4989403647,41826.5718594891,37899.294525315665,56536.16572390052,58277.819781764,55076.79496726787,67210.72505230362
18,35321.28957112882,36692.147381926065,56111.55264624111,57685.743324112744,54504.42039341285,65960.8569683593,52647.01360000399
19,28764.70238717753,52682.89000332458,56992.408633891915,53405.006903107715,64685.271592789446,51340.21609445942,47426.99157574637
20,45230.54426660709,55555.33211380738,50799.278053907045,62173.97198916708,49371.016794569565,44965.38659277613,64145.06452115575
21,47684.201327733914,50289.50004482855,62493.38550026959,49689.257776610524,45277.57905118477,64414.040086602625,53138.86584820777
22,43083.32634034038,60639.58452721499,48738.9050592173,44343.45894594179,63479.92373085522,52204.68545023515,57898.6445814119
23,52953.23383426389,47165.3405544234,42884.89201692661,62020.837277832405,50745.10448924714,56438.509228712275,74605.39575114103
24,40050.15978461329,42213.19903226318,61920.58101689596,50643.54968473513,56337.94900919772,74503.53159621416,69786.00727743679
25,34800.79417724454,60034.182168125975,49736.31631272883,55431.126790458846,73597.30628866324,68836.91988550294,72949.73203020112
26,52745.01081527905,48994.86684110113,54251.9738608608,72417.98713314669,67657.32556049453,72096.51527347567,61011.568542534544
27,42168.445975191324,55166.60106988493,73105.5456340959,68387.75332420047,72577.24632080858,61469.1510870731,68367.5495949421
28,47747.15586467903,73477.59681318786,67629.25366117626,72500.6957252707,60973.82217848417,68321.10833938052,64108.44025605019
29,66580.166584555,68901.25754955626,72956.07614288863,61397.202493219964,68743.52107888226,64536.776238560094,63394.184431792484
30,62463.036957581804,73833.9799608347,62278.212931165835,69624.04139197177,65420.70032871781,64545.77974652333,62893.990871188726
31,69476.50151409331,62378.47942786548,69562.83852636022,65389.0860955169,64215.951340765896,63273.66897492843,48750.524274305186
32,58241.49296879707,69492.30482596993,66085.06043763958,64737.188353170335,63554.48819233889,49032.18019992613,41068.34131163437
33,65228.591307023475,65677.74110110878,64553.80348824496,63229.32918571438,48675.1047796535,40283.82162614226,25252.57313372437
34,62579.121296483616,64478.541091764775,63472.33727019031,48949.15996776406,40902.510816064525,25495.550067209224,56572.76412848485
35,61071.86375673624,63794.391600031806,48584.543562129664,40161.85672712284,25129.699315340902,56177.508874634805,72702.20631411011
36,60277.70011036628,48575.36058594356,41307.595148154076,25882.843222337826,56661.69614289721,73451.25421537462,52253.95615300733
37,44774.08554861917,38569.508697869904,24934.98511868863,55647.382810059455,72459.39291410155,51260.12926141945,30120.431624011035
38,29864.73440889547,23486.703839516325,54443.06695092679,71232.35000263993,50031.38110732175,28841.284071296814,55949.88485557538
39,20371.36259868147,54659.82091103157,71325.46731207977,50092.790609606076,28904.71849459235,56010.83761928112,54883.41676134717
40,51068.06767704844,70320.70320499587,50080.25005524444,28871.99119082734,55972.14720261955,54833.37450289303,51518.21197366741
41,66524.05043235671,49094.75337115938,27482.17819604854,54622.968919940846,53631.46831648873,50329.57450814794,51127.36611500169
42,45229.41225875282,27305.656324868232,54570.86576472799,53567.784270424134,50260.80535654881,51057.43807488013,37851.26265761431
43,23881.54332314733,54468.56094659936,53617.76073037795,50291.13083979144,51079.566502071844,37873.27260193396,64155.59429807724
44,50898.64588635012,52455.310874302944,50079.63901292844,50860.88540313215,37652.85762526473,63934.31718916069,67690.327076507
45,48906.009127369856,49485.15094698621,49925.24700747257,36708.50584643763,62987.53787331842,66743.71181301854,42651.30885770383
46,45970.35330487309,50195.957981322485,36892.06404059554,63148.59591520675,66894.19643328621,42762.65473084993,50134.75283462298
47,46775.114686017136,36338.79635937164,63177.838695236474,66929.27763056316,42783.85746158826,50162.385954651574,59632.94626218101
48,32318.73567446349,61117.973851742325,65775.4091016253,41499.545331382054,48917.748567642266,58431.05754495485,54260.58504094182
49,57701.23397566408,65659.24693336539,40626.70690966302,48049.791018095224,57564.69535564376,53395.62308888935,55270.10576046516
50,61873.62698439957,40888.36849776126,48471.16245061475,57986.48132778074,53815.822554891,55648.14830270889,45270.64019761821
51,38523.31196449722,49733.90671427634,58890.88088188987,54719.97141372616,56554.98008171117,46197.74610524339,60007.84850517294
52,45998.1654819125,59176.10106903207,54776.558743476795,56590.67629026748,46263.63262396827,60019.07137364081,41972.93191660254
53,55957.20785156182,55689.715085729345,56990.86399857647,47068.83931292947,60398.85369035507,42842.105279745156,31770.41770535533
54,52503.42925123874,57254.70782313081,48368.191827892115,61036.62292263588,44156.36656883333,32587.934310694094,59304.348981770236
55,53772.07476645989,47074.77145172726,60547.98663942887,43373.29118759448,32070.332824320005,58826.610399063225,55271.37471453028
56,43007.30606691708,60643.70582283051,42631.20259538029,31944.438938244086,58720.755630671025,55154.17058819464,39298.16064838293
57,57253.7299574386,43923.50336196486,32554.222873261115,59242.793067046914,55676.044702265426,40377.94094009696,44181.81336469917
58,38655.53770088556,34155.61298463848,60448.40484653922,56799.49620898494,41583.13727842197,46118.79826576736,38010.37082619009
59,31952.52542052996,66660.1896378597,60682.71220013336,45409.40191630619,49897.894287185605,41762.41774709497,21869.52661765287
60,60789.670687709055,61691.65538455825,47671.67623471691,52100.427894978246,43920.17019786486,23753.536806043237,19280.30233326973
61,55588.32135851403,47326.414108316705,50553.52509593277,42336.95647553459,21935.6976656498,17235.10911270742,42627.11636472102
62,41120.29574818642,50283.21601289828,43029.79942283894,22463.89094050156,17829.21329682537,43290.291169141434,48638.149639152536
63,44177.74086165868,41211.07350357948,21113.847537674057,16490.08779848849,41958.062014084266,47307.37504783219,51150.58066145275
64,35250.9541196505,19938.0909584088,16031.710532829195,41559.87811204246,46930.5641530897,50775.63895653775,34408.906796085386
65,14471.387571530562,16666.079067311537,41285.95683007433,46693.088256394076,50539.99155595501,34176.88216482234,43130.74206122043
66,11471.43825164027,42357.52809123815,47592.133231587664,51349.65203447975,34958.46944743663,43911.001385899865,48009.2741131763
67,37374.02192841764,48093.27678896882,51621.037432470635,35195.1163341114,44142.11612870595,48274.26840636866,20255.291455077313
68,42861.04802971389,53148.58877727201,35171.232770885676,44070.914715479244,48162.43773885389,20100.33693192895,48895.42180869043
69,47756.21536383291,34058.079690454986,45030.233093868366,49114.07720829839,21047.836399029093,49840.678045396424,43976.69627398615
70,28678.41286899341,41915.71754036364,46413.10359036139,18324.88846730496,47117.56742823955,41256.69336452206,41811.25044912071
71,37002.65866754746,45676.757516908336,17847.135616539104,46588.85951718009,40727.98639422016,41283.15322790205,48626.40193261415
72,40861.036434969974,17175.153843076758,46353.578957642385,40551.12422062333,41116.86069619863,48460.29148018714,48762.6647369934
73,12301.472253816002,45520.97057201979,40107.385930434975,40689.51934353747,48039.34718948642,48342.388919174264,33935.027762495934
74,40767.69362002447,40591.81189601587,40314.56559447257,47669.73226815254,47976.342385597614,33569.47110054613,42554.0998973826
75,35572.88939063417,41113.24656857308,48259.267223113144,48541.29137739562,34128.33901908894,43111.623043414555,65012.05101396491
