,index,Unnamed: 0,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,0,0,241121.4759649789,274416.98956497887,276049.75526497886,271085.5271649789,273167.0178649789,259435.91876497885,269232.0803649789
1,1,1,244272.73366497885,294180.1540649788,273479.7379649789,262426.6273649789,266320.4966649789,269786.73526497884,259370.18606497886
2,2,2,247239.8779649789,283691.0741649789,266199.1404649789,258168.24466497885,259927.94446497885,257533.09716497888,258938.6966649789
3,3,3,235039.42996497886,261102.62776497888,252540.16416497887,252450.55746497892,251253.47706497888,251192.90036497885,251135.0729649789
4,4,4,207827.6450649789,220755.09936497887,243670.1059649789,242097.30006497886,241997.4991649789,241903.66656497886,246478.0364649789
5,5,5,167371.50636497888,203698.34816497887,210974.0053649789,210408.7675649789,210287.48976497885,214219.07106497887,215412.92346497884
6,6,6,152375.7861649789,185298.9685649789,195747.32086497886,195611.76066497885,200189.36276497887,200709.6010649789,205540.74026497887
7,7,7,136790.61276497887,177084.50036497889,182303.74046497888,186511.2125649789,187438.96426497886,191115.3057649789,200995.6329649789
8,8,8,129548.42166497887,173986.4160649789,180191.01696497886,180887.18126497886,185606.18616497886,196884.9955649789,193502.78306497887
9,9,9,126922.47756497885,179734.70416497884,177942.57956497886,181600.5679649789,192209.27676497886,192659.9907649789,178022.35756497885
10,10,10,134842.17716497884,168839.4097649789,185180.9893649789,195300.7050649789,193546.72436497887,180832.31736497887,172654.1513649789
11,11,11,119125.67866497888,171661.6842649789,178904.81606497886,176835.90456497887,163995.69336497886,155873.67866497886,156309.68096497885
12,12,12,118764.99886497887,168527.03086497888,172652.67236497885,159451.00506497888,151645.53166497886,151589.7897649789,161349.55596497885
13,13,13,118151.42626497886,153195.89696497886,148953.34346497888,141970.53066497887,141596.02686497886,151320.4575649789,189625.24176497888
14,14,14,105669.55716497888,139052.22326497888,132922.65156497885,134587.95296497885,144499.2001649789,182557.44976497887,182020.24466497885
15,15,15,93021.85446497885,138775.4723649789,135487.44076497885,145639.51836497887,183207.60756497885,183011.18946497884,182846.36246497885
16,16,16,91718.76037482283,146196.51937482282,152293.45077482282,189436.16297482283,189132.9685748228,188982.08067482282,188856.83467482284
17,17,17,102370.8839724033,169965.2612724033,199929.0128724033,199622.1817724033,199483.5196724033,199366.54987240327,199271.56957240327
18,18,18,122258.20730161559,205876.75820161556,208924.15520161556,208734.5423016156,208610.2185016156,208413.3632016156,208194.54730161556
19,19,19,158260.98942996314,207536.35092996314,206273.77772996316,205993.38872996313,205863.80102996316,205648.05332996315,205510.6258299631
20,20,20,160069.47104980977,212124.69774980977,208031.29464980977,206985.0134498098,206585.5169498098,206429.4580498098,206036.8994498098
21,21,21,165710.7301433825,208794.6966433825,211994.41074338247,211470.29074338247,211057.3759433825,210684.3661433825,210454.7408433825
22,22,22,159518.70006848744,200715.80296848743,205221.0977684874,204890.8757684874,204513.47346848744,204849.9286684874,202280.88376848743
23,23,23,154216.1488271655,198721.20552716553,200888.25502716555,201296.30352716552,201560.01922716553,200110.09772716553,199742.57482716555
24,24,24,149993.2250060416,195181.63360604158,199561.10860604155,199626.98140604157,197004.87490604157,198220.44470604157,199489.32200604156
25,25,25,145406.8540346404,195021.72003464043,196143.3627346404,194834.7736346404,195060.98713464043,194490.0836346404,194485.78993464043
26,26,26,145190.7488064932,202356.20900649318,192545.8721064932,192578.3321064932,192611.6516064932,192611.4016064932,175918.4481064932
27,27,27,154783.26006255456,195374.93076255458,201887.77736255457,205391.44086255453,205112.65066255454,188486.11806255457,188520.40496255457
28,28,28,147804.34602666303,203747.63522666303,199448.63882666308,200309.85122666304,183615.04752666305,183343.61532666307,177326.61602666305
29,29,29,158385.0007774476,210335.57667744765,209068.0278774476,189370.6208774476,192888.72587744764,187142.1575774476,187164.82117744762
30,30,30,180621.85987307652,225848.73557307656,211204.23127307653,209484.43047307656,204104.78517307658,202605.78817307655,206021.07087307653
31,31,31,191365.08710762346,221493.25250762346,213722.92620762344,206941.90370762342,207941.33210762346,208840.71650762344,211870.04130762344
32,32,32,175034.6022759775,214822.35447597748,211085.3316759775,213093.9652759775,212800.00197597756,212770.7545759775,212373.08597597753
33,33,33,164594.09133042625,202339.58293042626,205612.23253042626,203427.38373042623,203248.39693042627,202719.97313042622,202774.38613042622
