,index,Unnamed: 0,fd1,fd2,fd3,fd4,fd5,fd6,fd7
34,34,34,162848.51616457888,200227.58676457885,200454.36226457884,199842.61036457887,199289.3449645789,198973.28166457886,199054.47826457888
35,35,35,159171.263824196,191653.91352419602,193119.114024196,191879.32702419598,191575.94572419603,190931.771924196,199974.317324196
36,36,36,151603.0994833266,179882.4130833266,186652.53288332658,186135.93698332657,185218.6579833266,194232.12978332659,193478.51668332657
37,37,37,142002.1629888826,182385.47768888265,177245.72628888264,175014.0611888826,185223.52038888264,185200.0757888826,184594.4693888826
38,38,38,142755.79379237146,173531.04239237146,177367.39909237146,186897.33999237145,187288.14839237143,186109.45229237142,184196.87249237142
39,39,39,137598.76093442226,174344.04013442228,182408.8259344223,182342.80573442226,181769.93443442226,179928.51153442226,179579.63813442228
40,40,40,136541.00390118282,181482.84860118284,182982.3273011828,182927.2047011828,181398.09360118283,181263.58470118282,180842.46150118284
41,41,41,144984.76363309546,184004.11483309543,181762.09753309548,179923.50983309545,179758.56103309544,179203.75433309548,178922.23333309547
42,42,42,147686.78123471618,190364.87063471618,182999.7082347162,183881.67213471618,183377.5527347162,183110.3622347162,182945.80783471616
43,43,43,153602.1315636101,190226.4034636101,189663.34086361015,189530.6854636101,189253.94476361014,189116.57366361015,189095.38116361015
44,44,44,153606.65008139698,185175.051281397,191615.421381397,190975.68188139697,190813.68038139702,190792.98318139702,190772.21848139702
45,45,45,155451.48582490132,201393.71072490135,191766.73242490133,192029.60052490135,192014.34112490132,191999.04632490134,191983.71592490136
46,46,46,165652.34770152665,201932.67410152667,202008.3008015267,201980.39110152668,201964.40660152672,201948.3841015267,201932.32360152667
47,47,47,166342.0295050068,208430.34330500674,203753.01000500674,207521.28050500678,207504.36210500676,207487.40090500674,207470.39690500678
48,48,48,171081.64301311196,205414.92651311192,211548.94521311193,210105.29621311196,210090.61941311194,210075.90871311194,210061.16401311196
49,49,49,172563.45554684266,218470.87844684266,213301.3901468427,211748.0738468427,211722.18494684267,211830.0580468427,211913.48224684264
50,50,50,181239.9973856254,221052.93188562538,215359.09338562537,214646.73558562537,214688.20988562537,214436.7593856254,214475.5401856254
51,51,51,181987.93665965094,218575.6454596509,215885.48905965092,215265.90615965094,215248.8379596509,215232.0746596509,215190.07125965093
52,52,52,178156.10916232222,206014.9129623222,213047.46876232218,212412.78986232218,212268.13626232222,212209.7951623222,203820.1367623222
53,53,53,169494.7441371515,204845.9341371515,204461.96253715144,203942.20663715145,203702.7321371515,195195.53003715145,214604.20763715144
54,54,54,167176.7628618986,197618.54276189863,202255.8803618986,201973.83606189865,193555.26986189865,212975.16566189865,145531.30636189863
55,55,55,161270.52155519056,202344.10515519057,196900.22915519058,188470.03655519057,207881.5271551906,140343.1459551906,140286.7421551906
56,56,56,167518.93247448513,198069.25337448512,195529.60147448513,214572.2248744851,147036.9185744851,146978.67277448514,146920.28137448512
57,57,57,162224.95221784455,189528.4323178446,209779.75651784457,143468.7228178446,143575.75141784456,143520.37571784458,143464.86781784456
58,58,58,151805.8937779085,205483.23597790845,141225.70157790845,142050.48617790846,141993.45267790844,141936.27747790844,141878.96067790844
59,59,59,170922.40120152268,146200.77240152267,143586.1558015227,142730.39830152268,142674.26460152268,142617.9946015227,142561.5883015227
60,60,60,108451.97294514737,138157.45104514738,147878.84994514738,147968.65684514734,147581.48954514737,147506.83894514738,147508.96864514737
61,61,61,101235.72492650451,140981.00872650451,137791.3487265045,137285.5752265045,137195.7014265045,137153.3252265045,137108.3196265045
62,62,62,102763.2514197817,142030.77231978168,138830.6456197817,140101.5142197817,140019.9817197817,139943.81581978168,139871.37281978168
63,63,63,104616.80065526479,141560.9702552648,143069.8951552648,145965.2280552648,145778.8679552648,145622.4985552648,142217.5180552648
64,64,64,103264.39025234125,144670.23685234124,145442.54515234125,144248.38095234125,144038.09985234126,141797.00895234125,135295.47605234126
65,65,65,107687.00440704483,150358.97370704485,147675.7400070448,148941.93700704485,148435.75020704482,143294.22040704486,135583.43550704484
66,66,66,113601.99132186505,151886.78992186504,151553.44382186502,153132.98922186502,148412.85582186503,139919.247521865,139885.14252186503
67,67,67,115405.69451155866,154964.65671155867,155747.22991155865,149762.39341155867,142501.28401155866,139287.40041155866,142408.64801155866
68,68,68,123527.48348589087,167933.8147858909,158313.28618589087,153274.48098589087,146874.1082858909,150037.79958589087,146840.46758589087
69,69,69,134522.469262084,167182.65636208397,162760.53146208398,156364.61846208398,159559.583362084,158473.72236208396,159326.58286208397
70,70,70,132510.24477640507,160408.2862764051,158228.2923764051,161353.2811764051,159893.23647640506,158077.0484764051,158049.87507640506
71,71,71,124902.16648130237,146428.32558130234,153532.4579813024,153063.83078130236,152547.97588130238,151774.3400813024,151694.47718130238
72,72,72,114567.26549061626,146137.45449061628,146132.43219061627,146352.26549061626,146582.2115906163,146508.68169061627,158817.94329061627
73,73,73,115916.58679083403,147678.15189083404,145138.03329083405,143306.54259083405,145030.89319083403,154243.68219083402,216526.04159083404
74,74,74,118858.26907919884,156151.12227919884,147434.14667919884,149075.69967919885,158328.36947919882,220600.30687919882,217174.00107919885
75,75,75,133645.9494686713,162679.0431686713,163571.06196867127,172876.3036686713,234975.6137686713,233618.9928686713,235080.4351686713
76,76,76,139357.50409855283,183575.6058985528,180489.3093985528,243622.00609855284,242859.33409855282,243103.63099855284,234378.6165985528
77,77,77,166805.5243002853,237051.99450028528,269315.8790002853,267275.30720028526,268740.7457002853,259166.05980028523,209833.33510028527
78,78,78,229436.19668357325,350675.1386835732,317975.49558357324,317695.66258357326,309844.73108357325,263288.08158357325,285944.02878357325
79,79,79,331757.4101073719,368517.8129073719,356038.1518073719,347773.4087073719,305884.9309073719,317699.3338073719,314097.5753073719
80,80,80,342895.5345565496,364505.92195654963,359195.5096565496,318192.87185654964,327161.79835654964,325360.28255654965,323210.92625654966
81,81,81,335093.9752281292,341579.14522812923,310224.4062281292,317118.1667281292,316848.4221281292,313756.96032812924,316277.1190281292
82,82,82,314240.0102471832,275259.27534718317,305422.77294718317,304856.8568471832,303496.0762471832,304044.2021471832,302698.3325471832
83,83,83,240408.70798118293,277762.51878118294,279173.2409811829,277914.32078118285,278106.46538118296,277163.98438118293,277197.5911811829
84,84,84,250104.31636515848,275251.00086515845,279891.4206651585,280176.2995651585,279251.3535651585,279469.3719651585,254505.32576515846
85,85,85,253209.2606664573,292306.6024664573,285391.7031664573,283716.7197664573,283932.5580664573,260278.85216645728,239700.64746645727
86,86,86,259078.65883253975,294315.09153253975,288153.47053253977,288037.4572325398,264512.7023325398,244155.95113253978,242875.12233253976
87,87,87,259190.59108520346,282574.62128520344,286571.2690852035,262468.5853852035,241731.28508520348,240366.62328520347,240230.79678520345
88,88,88,246200.91747093093,270461.24047093093,250179.70097093095,228674.71047093094,227207.08327093095,227090.47347093097,226876.04587093092
89,89,89,239459.52486507077,235495.21956507076,222361.9505650708,221579.74936507078,220528.96856507077,220320.55786507076,220110.7032650708
90,90,90,194809.5881262718,190331.13942627184,200144.1928262718,200933.0579262718,200730.38542627182,200533.79392627178,200335.85222627182
91,91,91,156640.73527894844,182913.2171789484,182726.26447894843,182277.77657894843,182074.05267894844,181888.59317894845,181701.87717894843
92,92,92,153615.80332105415,173038.93882105415,181263.98752105414,180837.84532105413,180625.4445210542,180440.25092105413,180253.80432105417
93,93,93,140857.25887072904,177375.35767072905,168020.68717072904,167540.97977072903,167316.95147072902,167138.76247072907,166959.38477072906
94,94,94,146477.36805023556,167513.07975023557,172870.02205023557,172925.13555023554,172805.55735023555,172616.51435023555,172426.22475023553
95,95,95,138525.01398492604,155834.74568492605,165610.02278492606,165928.46568492602,165829.52838492603,165646.02748492605,165461.32318492606
96,96,96,127577.67709374534,159707.95029374538,155550.86489374534,155285.73889374535,155091.12939374533,154917.09719374537,154741.93009374535
97,97,97,131757.93705045944,157487.11605045944,160154.6447504594,159784.1129504594,159562.30725045945,159382.13455045945,159200.7942504594
98,98,98,132143.95376608102,161079.86526608103,160170.00256608098,159684.769266081,159459.18876608103,159280.610966081,159100.88346608102
99,99,99,131033.18178080754,155548.74818080757,158548.12948080752,158100.89178080752,157893.21828080754,157712.0618808075,133478.75718080753
100,100,100,126309.73863746312,155020.5296374631,153286.81683746312,153592.9795374631,153489.25113746308,129377.20663746311,134735.38423746312
101,101,101,124923.9461065224,147671.8477065224,152322.6540065224,155131.99490652242,131272.38650652242,136940.88520652242,136842.33150652243
102,102,102,122609.13179147648,161633.04109147648,154290.3111914765,130230.49579147651,135044.40089147649,134948.8149914765,134852.8498914765
103,103,103,134504.36372477023,163273.3117247702,142370.17242477022,146084.12822477022,145981.86642477024,145879.1960247702,145776.11712477024
104,104,104,137537.7003030913,138622.1128030913,145452.4583030913,144995.46730309128,144895.4482030913,144795.0281030913,144694.2068030913
105,105,105,111525.89851232327,159176.8677123233,144085.93671232328,143873.6184123233,143777.06881232327,143680.12581232327,143582.78961232328
106,106,106,137620.88958363357,163367.55768363352,164446.31538363354,165671.75168363354,165564.63668363355,165457.07538363355,165349.06778363354
107,107,107,146166.5291839705,186720.35658397048,174912.0103839705,177949.5774839705,177904.3253839705,177796.3093839705,177687.83928397053
108,108,108,172342.98929853,210772.47579853,204847.87239853,203650.76769852996,203580.71189853,203574.95689852998,203553.37199852997
109,109,109,211654.09560608387,274678.65410608385,244481.48080608388,250735.82560608385,253132.3978060839,253014.01840608392,252867.20570608386
110,110,110,272454.78751027706,316761.7511102771,298643.1100102771,302637.40771027707,301944.4692102771,301273.56571027706,301464.8355102771
111,111,111,290084.49226699414,313606.82596699416,313053.2026669941,313279.3408669942,313119.81596699415,313024.0346669942,312874.1166669942
112,112,112,291925.4993729462,307648.8792729462,315981.9171729462,314749.8237729462,314613.1349729462,314232.2972729462,305343.5907729462
113,113,113,287597.7873473058,310286.2106473058,307663.7851473058,307217.4402473058,306078.4601473058,306319.1430473058,306166.7566473058
114,114,114,282138.7886957864,294595.7372957864,301524.09869578644,300616.2232957864,292120.8336957864,291942.5619957864,114760.91579578642
115,115,115,269160.11748770264,288647.7229877027,290299.38838770264,286471.4555877027,286277.65008770267,110115.39758770264,109511.61538770265
116,116,116,278566.6864275683,315653.2817275683,314388.3627275683,314651.2849275683,130689.22272756828,121923.84782756829,122098.12082756827
117,117,117,303231.96836328873,346926.3329632887,347154.26506328874,171102.01916328876,162280.4740632887,163516.99216328876,169064.13616328873
118,118,118,319667.26979379944,347147.08479379944,172425.93079379946,169002.39369379944,193219.48939379945,174628.57659379946,193848.61759379943
119,119,119,318469.7347264581,150697.0730264581,145597.9404264581,147573.6401264581,156507.89282645812,156618.0016264581,157011.56482645808
120,120,120,91942.99448135422,110412.69158135421,109883.70458135422,109867.40038135421,110214.1838813542,112050.48708135422,110486.01268135422
121,121,121,71786.92243180866,100456.86953180865,100361.11023180865,100141.02973180867,100209.38913180865,100292.35183180866,108022.79333180867
122,122,122,62166.481710664404,91375.62401066441,91114.98751066442,90731.57371066441,90784.49071066442,98485.33841066441,98876.6177106644
123,123,123,59496.92312818681,88444.6783281868,88019.76282818682,88698.6417281868,96399.8040281868,96490.85952818682,96587.0552281868
124,124,124,59099.19407239233,87850.42187239233,88523.99577239231,95824.30137239234,95811.81987239231,95894.95627239233,95983.36397239231
125,125,125,64212.45530952125,93994.76690952126,101306.60780952124,100899.94270952123,100951.92980952123,101043.10170952124,101142.67670952123
126,126,126,70605.14711096394,106788.03961096393,106351.33021096393,106501.71701096394,106548.74331096394,106639.64981096392,106549.54381096392
127,127,127,78244.71169473948,106687.83079473946,106844.50279473948,107024.90389473947,106923.52229473948,108816.54779473947,110308.77759473947
128,128,128,79810.90380565074,108882.19200565072,109078.58920565073,109735.50890565073,111888.53040565073,110317.02510565074,141845.12780565076
129,129,129,88280.88689839668,117890.75009839667,121796.56729839667,118501.67399839667,137803.37869839667,164326.16269839666,153821.64959839667
130,130,130,107090.08029638782,137250.4492963878,149284.84339638782,182009.00219638785,195125.80359638785,182467.91609638784,195666.09739638784
131,131,131,123523.23556142888,195653.92076142892,225049.22126142887,237857.13296142887,225318.3483614289,238531.5517614289,225948.7389614289
132,132,132,185409.8077095953,292448.8064095953,304432.0019095953,292837.8223095953,305207.8541095953,293714.8377095953,345369.0254095953
133,133,133,289638.7467627338,336955.1193627338,326680.2986627338,337553.2211627338,327371.6667627338,373623.6733627338,392457.58706273383
134,134,134,333260.9282055523,366770.2385055522,374021.1501055523,367329.1941055523,394513.9225055522,407689.7702055522,411173.9283055522
135,135,135,363232.5031726714,390349.9872726714,385117.3253726714,405627.72097267146,415255.16397267143,418708.5509726714,415887.7350726714
136,136,136,389467.59422351525,388331.03642351524,407248.6636235152,416439.5460235152,419921.45472351526,417129.0215235153,420621.2565235153
137,137,137,385618.15785702737,404024.42625702743,413213.7760570274,416618.5643570274,413789.02655702736,417283.4796570274,414106.2590570274
138,138,138,395919.7575819161,401751.21638191614,405323.69478191616,401786.14098191616,405210.6399819161,402198.57328191615,405766.0744819161
139,139,139,387847.4077084158,389354.6795084158,383579.8696084158,389012.27980841574,383322.8505084158,389696.9242084158,383947.2422084158
140,140,140,373771.3508341928,354043.05633419286,364386.5498341929,354097.71193419286,364760.13953419286,354496.75813419285,365497.94833419286
141,141,141,329377.57809522894,342172.8766952289,330560.08419522893,342458.9733952289,330914.4172952289,342833.4749952289,331268.4413952289
142,142,142,316962.6878923356,312742.77029233554,324710.6420923355,313040.16659233556,324999.4515923355,313369.9127923355,325668.32799233554
143,143,143,288229.8268983712,320058.2981983713,308426.1920983712,320221.53629837127,308596.6234983712,320541.85689837125,312146.6032983713
144,144,144,295818.79061086016,316039.70951086015,327739.4152108602,316382.7127108602,328670.1487108602,322100.49541086017,336270.48531086015
145,145,145,290643.25172924914,339930.39982924913,328594.53242924914,341021.56442924915,328945.84882924915,348246.4569292491,376580.37712924916
146,146,146,318665.3552516281,323553.00585162814,335990.8911516281,324172.7282516281,337068.3604516281,372531.0379516281,395839.33615162806
147,147,147,302799.73759283277,333755.5848928328,321960.25179283274,335068.93309283274,370241.61219283275,386530.7429928328,381569.68809283274
148,148,148,320461.1623427549,329902.9574427549,343755.9442427549,375669.8971427549,389886.1468427549,376630.1762427549,404115.21934275486
149,149,149,320497.2817333118,373783.03873331175,393210.6496333118,400494.5281333118,390458.46003331174,411544.3761333118,406850.9660333118
150,150,150,366975.9008917777,412702.3594917776,417806.1379917776,415683.56739177764,429881.9237917777,423618.15299177764,429360.8923917776
151,151,151,405459.5329592963,432088.0098592963,434058.8890592964,439624.4744592964,439669.3433592964,439963.9558592963,439805.8800592963
152,152,152,422776.2941981037,433593.3675981037,441143.34289810376,441132.5230981037,441372.9226981037,437082.63799810375,441480.54369810375
153,153,153,419060.75023370376,437583.4785337037,431117.43813370366,436637.66753370373,427219.8864337037,436715.86043370375,427320.6009337037
154,154,154,423423.5535027459,432397.32810274593,438019.79170274595,428127.0792027459,437577.9312027459,428171.5660027459,437665.26080274594
155,155,155,418651.3339676882,436181.45476768824,426198.88986768824,435455.5952676882,425999.1915676883,435528.99956768827,426085.67666768824
156,156,156,420192.12626669183,418911.9529666919,428212.8138666919,418626.89546669193,428259.64346669184,418711.5980666919,428013.99316669186
157,157,157,398182.99281501025,422753.05551501026,411175.03051501024,422594.9167150102,411097.9565150102,422343.12431501027,410932.98191501026
158,158,158,403643.78628768376,402991.6313876837,417278.09968768375,402420.75078768376,417136.5555876837,402461.1515876837,417093.2502876837
159,159,159,381559.10968543665,414324.7438854366,396131.89188543666,414208.3159854367,396183.13438543666,413736.39998543664,404045.4631854366
160,160,160,395285.970915954,393324.53111595404,412406.07661595393,393477.54091595404,412099.17181595403,393655.32621595403,431231.18461595394
161,161,161,374157.1586584451,416905.6053584452,400000.2752584452,416382.09065844514,408638.79145844514,434557.1024584451,408187.24415844516
162,162,162,400874.418974823,403130.21637482295,418311.008274823,417689.817274823,433744.427974823,417235.14537482295,434165.11967482296
163,163,163,380099.16733114526,414199.10963114526,408549.9823311452,431256.0618311452,408089.04173114523,431670.09203114524,413374.67583114526
164,164,164,393469.7080512252,412954.8916512253,433539.38735122525,412500.5350512252,433999.9408512253,416711.8902512252,441860.2764512253
165,165,165,392989.3526192213,429693.3320192213,406406.29491922125,430385.5522192213,412319.30711922125,441983.9612192213,441828.99131922127
166,166,166,412309.89604963304,405324.48444963305,429840.20834963303,411016.3713496331,442490.05344963307,442071.5784496331,441534.67694963305
167,167,167,381105.46144806047,424672.3600480604,401311.6680480605,441843.27114806045,441369.7192480605,440704.42404806043,441002.4683480605
168,168,168,407286.6541022918,406751.1243022918,443008.6055022918,442559.85890229174,442007.08360229176,442403.5739022917,442776.7229022918
169,169,169,380938.99448953004,441608.4663895301,440708.82258953,439887.43778953,439989.81218953,439882.3250895301,438586.2625895301
170,170,170,421826.40193715325,438315.8142371532,437220.3963371532,437161.17943715333,436418.1684371533,426641.08943715325,413115.2428371532
171,171,171,418560.37173126626,434370.0863312663,435066.52723126626,427677.40983126627,386511.85453126626,386531.7843312663,385817.79163126624
172,172,172,411892.4196822995,434629.5896822994,423288.18828229944,375762.56958229945,375845.4587822994,375093.6302822995,375126.50948229944
173,173,173,415504.0136684618,415410.6617684618,350848.5979684618,350924.2061684618,350171.87136846175,350203.9753684618,350255.7288684618
174,174,174,391299.49159365124,354910.1601936512,354885.5708936512,354180.07249365124,352926.5923936512,354953.7262936512,354411.6468936512
175,175,175,323903.7322489335,359936.06294893357,359237.9000489336,357986.3203489336,360014.4698489335,359393.32324893354,385376.5040489335
176,176,176,325475.4235674532,356709.13646745327,355456.08336745325,357519.3306674533,357631.11396745325,382121.42286745325,1014559.4905674533
177,177,177,325993.4117900443,348359.9780900442,350421.7601900443,350452.5297900443,372777.12809004425,1015258.7185900442,355892.1760900442
178,178,178,312676.710038061,323558.023538061,323700.37323806103,346568.326038061,1014239.914138061,355162.61513806105,346309.638538061
179,179,179,289613.28879042197,328696.762190422,353148.36069042195,1003523.989990422,357712.357790422,328190.65129042196,327879.78999042197
180,180,180,295872.94179147284,351172.3740914728,1007810.0231914729,358319.9333914729,335617.2290914729,335064.43069147284,335320.9973914729
181,181,181,325589.96157415735,1013508.3789741574,359258.71057415736,342843.02787415736,328209.28737415734,328192.37737415737,328073.23567415733
182,182,182,748844.5002987884,355049.10999878845,340293.7685987884,339624.4437987885,339418.91119878844,340472.0020987885,339460.6782987885
183,183,183,340323.63415814616,315146.76885814616,332153.2729581462,331713.67335814616,332765.8062581462,332641.1568581462,331352.1076581462
184,184,184,294241.8310120688,299840.81791206874,309731.23021206877,310484.83801206877,310159.0024120688,309120.00471206877,310576.94591206877
185,185,185,282701.93399009306,306649.1057900931,298849.63499009307,299605.93209009303,298332.7489900931,299491.898790093,298551.8149900931
186,186,186,292420.69637231855,324890.9185723186,309757.22647231864,308070.63407231856,309410.2358723186,308469.84837231855,308331.13537231856
187,187,187,310886.0860073948,304901.6145073948,324771.3447073948,326113.1360073948,325871.2795073948,325512.6602073948,329246.8622073948
188,188,188,286692.26853758417,302289.75493758416,302194.4746375842,301951.8170375842,301592.3590375842,301990.8269375842,305992.0658375842
189,189,189,289797.4779675596,336729.0028675596,307754.6505675596,307990.5135675596,307282.3238675596,307751.4475675596,318419.9026675596
190,190,190,330030.637597286,338827.37639728596,344010.8437972859,345577.797497286,352312.709297286,366676.99549728597,353584.41959728603
191,191,191,319943.7675713188,312837.89007131883,334160.9981713188,340558.8622713188,358956.7634713189,358199.14567131887,359583.9310713188
192,192,192,290967.7651552165,304192.8607552165,309817.94705521653,325944.5980552165,337308.4934552165,332169.6621552165,332843.2410552165
193,193,193,284425.9946414933,291952.68014149327,308226.0945414933,323864.0727414933,320661.30354149325,321341.9088414933,320784.9927414933
194,194,194,270556.51646445255,287633.1565644525,302074.4763644525,302615.35076445254,303123.8597644525,302566.2016644525,302458.9571644525
195,195,195,269142.9828807617,288793.41648076166,292253.99128076166,292762.35498076165,292048.3745807617,292252.3725807617,291682.2635807617
196,196,196,272280.9033910056,272034.38169100555,286968.6056910056,286259.15299100557,286140.89019100554,286595.90169100557,286204.02169100556
197,197,197,257105.10533067398,268868.911730674,270758.787830674,270645.677530674,269950.987030674,271244.83033067395,272116.91603067395
198,198,198,252206.10113333038,255314.0429333304,264696.6522333304,264031.2616333304,265312.63633333036,265406.5021333304,265783.18793333037
199,199,199,242520.21747967167,258016.93407967166,255134.36297967166,256459.63827967164,256138.5369796716,256701.16527967164,255247.82447967163
200,200,200,241079.34766676696,241230.54366676696,255139.49226676696,254792.29366676696,255253.56106676697,253868.62456676696,255228.90806676698
201,201,201,227963.8906954482,251558.37789544824,242571.2324954482,242862.4189954482,241320.42939544824,241685.53399544826,242658.83089544822
202,202,202,233443.86353306493,248043.92563306497,246795.58433306494,245253.35713306497,245618.77063306494,246747.06933306498,245227.06063306498
203,203,203,232565.0481729735,228984.83187297347,244205.62197297352,244570.6176729735,245300.20067297347,244466.93497297348,244463.8986729735
204,204,204,210790.11883278325,226598.51153278322,222422.17033278325,223489.73183278326,222232.19473278325,222273.07213278324,223996.35363278323
205,205,205,208633.55165278297,198148.16925278297,222937.077852783,221679.652952783,221720.73445278298,222798.40825278297,222182.643052783
206,206,206,181436.1964437362,196384.86244373617,194122.78534373618,194163.59624373622,194860.2358437362,194649.89574373618,193754.6928437362
207,207,207,180483.31205754026,185119.38795754025,192167.41115754025,193244.8723575402,192628.9924575402,192480.26005754023,95531.79515754024
208,208,208,170633.61543128232,190574.05813128233,184640.3714312823,184024.0329312823,182786.64363128232,82614.07473128234,94793.41603128234
209,209,209,177237.61093158333,213221.35023158335,190543.80953158333,187994.41523158335,88108.20793158335,98670.98343158334,123238.24603158333
210,210,210,199903.80603515846,184228.36563515844,209611.77443515847,109045.81553515844,119917.49543515843,141038.31863515844,147665.79893515844
211,211,211,170764.64615836163,186904.93305836164,84898.08475836166,88883.73605836165,118657.97755836166,114226.11005836166,118355.43905836166
212,212,212,172619.4212101203,82466.67131012029,92413.1556101203,119988.84161012029,117229.6482101203,120521.25341012029,114825.34471012029
213,213,213,69490.88366961313,85019.63596961315,112405.24346961314,112381.63936961314,113017.76626961314,109976.94266961314,111770.30176961314
214,214,214,74845.34147081853,107415.22767081854,110372.44237081852,111009.99877081852,107967.86917081854,109762.65607081854,110100.95457081855
215,215,215,68919.87356305623,105744.60026305623,106223.64706305621,103180.04246305622,104976.33956305622,105469.72076305622,105831.26216305624
216,216,216,71510.21761562274,97961.49621562273,103485.53861562273,105282.42171562274,105618.03481562276,106292.82121562274,103912.54001562274
217,217,217,60573.59669995091,97777.4978999509,95690.0462999509,96021.72669995092,96466.1894999509,93825.15449995089,97159.7140999509
218,218,218,63240.32576250745,104109.00446250744,100147.34836250744,100824.08506250742,97794.04306250744,100707.23316250744,99100.95046250743
219,219,219,66248.41933102623,94496.50743102626,103244.07403102625,100604.47433102626,103596.24483102624,101599.45533102626,92337.56703102624
220,220,220,57021.6231673616,90233.12466736161,88966.69406736162,91962.9314673616,89960.9197673616,80675.3228673616,73974.0619673616
221,221,221,52355.93214084751,77411.5350408475,88981.75184084753,86978.24014084753,77685.72134084754,70947.52994084753,88924.03284084752
222,222,222,42478.39234256264,87366.20664256264,78063.79384256265,68523.17384256265,61731.091342562635,79531.00714256265,78712.90324256264
223,223,223,52032.58355034709,76405.2160503471,76390.38735034708,70429.77765034708,88151.32735034708,87305.99415034712,87424.7480503471
224,224,224,37619.44078345939,56834.66588345938,55979.280083459395,73738.63358345939,72895.66778345939,73251.08748345939,72209.26758345938
