,Zone,Time,Value
180,SCE,37,3427.5440840241745
181,SCE,38,3065.1003836971167
182,SCE,39,2385.2170788707504
183,SCE,40,1271.3657071339373
184,SCE,41,0.0
185,SCE,42,0.0
186,SCE,43,0.0
187,SCE,44,0.0
188,SCE,45,0.0
189,SCE,46,0.0
190,SCE,47,0.0
191,SCE,48,0.0
